word,count
25,517
20,497
93,492
65,491
45,488
60,487
32,482
10,481
21,481
99,480
26,478
50,478
14,477
22,477
18,476
59,474
64,474
79,474
81,474
44,473
51,473
8,473
96,473
15,472
76,472
38,471
61,469
46,468
24,467
87,465
27,464
3,464
31,464
71,464
49,463
62,463
78,463
88,463
13,462
30,461
94,460
1,457
5,457
72,457
98,457
29,456
4,456
40,455
43,455
69,455
74,455
75,455
84,452
95,452
34,451
82,451
55,450
33,449
63,449
66,449
9,449
6,448
70,447
77,447
89,447
67,446
11,445
35,445
57,445
85,445
91,445
54,444
58,444
68,444
7,443
90,443
23,439
73,438
39,437
2,436
83,436
36,435
47,434
86,434
28,431
80,431
41,430
16,429
92,429
97,429
53,424
37,423
56,422
48,418
17,416
42,416
19,412
52,410
12,401
память_процессор,251
анализ_структура,248
папка,245
кодировка,244
файл_текст,243
компьютер_код,242
код_словарь,241
переменная_словарь,241
сервер_безопасность,241
интерфейс_пользователь,240
анализ_пользователь,239
база_программирование,239
переменная_библиотека,237
проект_анализ,236
решение_пользователь,236
бит_память,235
пароль,235
задача_интерфейс,234
язык,234
данные_текст,233
память,233
список,233
структура_клиент,233
текст,233
функция_переменная,233
разработка_язык,232
язык_код,232
модуль_ошибка,231
проект,231
файл_кодировка,231
структура_сервер,230
версия_решение,229
клиент,229
привет,229
тестирование_задача,229
язык_функция,229
безопасность_шифрование,228
программирование_функция,228
список_модуль,228
библиотека_тестирование,227
диск,227
документ_стандарт,227
информация,227
модуль,227
отладка_проект,227
тестирование_проект,227
задача_анализ,226
кодировка_разработка,226
словарь,226
список_словарь,226
функция,226
база_компьютер,225
версия,225
задача_решение,225
программа_файл,225
библиотека_отладка,224
клиент_пароль,224
модуль_синтаксис,224
ошибка_тестирование,224
разработка_компьютер,224
формат,224
язык_программирование,224
клиент_безопасность,222
решение_структура,222
шифрование_память,222
алгоритм_компьютер,221
алгоритм_язык,221
бит_процессор,221
задача_структура,221
пользователь,221
привет_мир,221
функция_словарь,221
байт_память,220
функция_список,220
данные_кодировка,219
привет_файл,219
решение_интерфейс,219
байт_диск,218
бит_папка,218
программирование,218
процессор_папка,218
сеть_безопасность,218
версия_анализ,217
информация_алгоритм,217
мир_текст,217
программа_кодировка,217
решение_анализ,217
текст_информация,217
тестирование_версия,217
бит_диск,216
данные_система,216
компьютер_программирование,216
пароль_шифрование,216
пользователь_клиент,216
решение,216
система_алгоритм,216
файл_информация,216
безопасность_пароль,215
кодировка_система,215
мир,215
пользователь_сеть,215
байт_процессор,214
безопасность,214
интерфейс_сеть,214
компьютер_язык,214
пароль_бит,214
сеть_пароль,214
стандарт,214
словарь_модуль,213
текст_разработка,213
байт,212
бит,212
диск_документ,212
ошибка_проект,212
проект_решение,212
разработка,212
текст_кодировка,212
алгоритм,211
анализ_сервер,211
байт_бит,211
библиотека_ошибка,211
память_диск,211
привет_программа,211
проект_задача,211
процессор,211
сервер_пароль,211
сеть_байт,211
синтаксис_тестирование,211
система_разработка,211
файл,211
код,210
кодировка_алгоритм,210
процессор_документ,210
синтаксис,210
тестирование_решение,210
интерфейс,209
мир_данные,209
мир_файл,209
ошибка,209
переменная_список,209
список_синтаксис,209
шифрование,209
кодировка_информация,208
пароль_байт,208
привет_данные,208
структура_пользователь,208
тестирование,208
информация_разработка,207
модуль_библиотека,207
память_документ,207
переменная,207
пользователь_сервер,207
система,207
система_информация,207
безопасность_байт,206
документ_формат,206
клиент_сеть,206
папка_документ,206
пользователь_безопасность,206
сервер_клиент,206
текст_система,206
база_код,205
база_язык,205
память_папка,205
сеть,205
шифрование_байт,205
шифрование_процессор,205
клиент_шифрование,204
папка_стандарт,204
процессор_формат,204
сервер,204
сеть_шифрование,204
синтаксис_версия,204
файл_система,204
алгоритм_база,203
алгоритм_программирование,203
версия_задача,203
данные_файл,203
код_переменная,203
компьютер_функция,203
отладка_задача,203
безопасность_бит,202
документ,202
код_список,202
переменная_модуль,202
программа,202
список_библиотека,202
данные,201
диск_формат,201
ошибка_версия,201
ошибка_отладка,201
программирование_список,201
разработка_база,201
интерфейс_сервер,200
информация_компьютер,200
мир_программа,200
синтаксис_отладка,200
анализ_интерфейс,199
библиотека_синтаксис,199
задача,199
версия_проект,198
процессор_диск,198
функция_модуль,198
библиотека,197
информация_база,196
пароль_память,196
синтаксис_ошибка,195
словарь_ошибка,195
код_функция,194
база,193
диск_папка,193
диск_стандарт,193
интерфейс_клиент,193
отладка,192
словарь_синтаксис,192
язык_переменная,192
анализ,191
программа_текст,191
проект_структура,191
сервер_сеть,191
отладка_версия,190
программирование_код,190
система_база,190
формат_стандарт,189
модуль_отладка,188
программирование_переменная,188
компьютер,187
программа_данные,185
структура_интерфейс,185
отладка_тестирование,184
структура,184
шифрование_бит,182
разработка_алгоритм,178
папка_формат,172
словарь_библиотека,171
373,14
206,12
259,11
757,11
121,10
297,10
398,10
504,10
641,10
687,10
730,10
788,10
927,10
133,9
178,9
250,9
334,9
341,9
404,9
416,9
418,9
490,9
500,9
528,9
550,9
646,9
680,9
684,9
790,9
801,9
810,9
813,9
825,9
852,9
857,9
922,9
938,9
953,9
973,9
985,9
175,8
207,8
220,8
241,8
277,8
300,8
312,8
331,8
362,8
405,8
434,8
457,8
496,8
508,8
643,8
678,8
686,8
705,8
708,8
752,8
792,8
803,8
815,8
821,8
859,8
861,8
885,8
888,8
896,8
946,8
952,8
963,8
970,8
986,8
102,7
115,7
130,7
134,7
143,7
152,7
193,7
204,7
242,7
257,7
275,7
285,7
286,7
292,7
299,7
302,7
304,7
315,7
316,7
326,7
347,7
351,7
388,7
397,7
413,7
462,7
483,7
491,7
495,7
502,7
511,7
522,7
524,7
525,7
553,7
573,7
585,7
586,7
601,7
639,7
695,7
741,7
744,7
745,7
779,7
789,7
798,7
811,7
818,7
836,7
849,7
851,7
868,7
887,7
897,7
898,7
902,7
904,7
913,7
924,7
925,7
950,7
955,7
960,7
961,7
966,7
972,7
980,7
983,7
109,6
113,6
126,6
131,6
167,6
168,6
180,6
181,6
186,6
188,6
201,6
221,6
226,6
227,6
232,6
260,6
262,6
271,6
288,6
289,6
290,6
291,6
306,6
309,6
321,6
325,6
332,6
340,6
363,6
364,6
365,6
372,6
376,6
377,6
379,6
403,6
419,6
421,6
427,6
443,6
454,6
456,6
458,6
472,6
475,6
476,6
493,6
498,6
505,6
531,6
535,6
538,6
539,6
546,6
557,6
563,6
564,6
565,6
590,6
594,6
596,6
600,6
603,6
609,6
630,6
640,6
659,6
663,6
665,6
673,6
675,6
682,6
692,6
694,6
699,6
704,6
713,6
726,6
734,6
736,6
761,6
768,6
772,6
778,6
780,6
782,6
785,6
802,6
824,6
829,6
830,6
831,6
833,6
835,6
847,6
853,6
854,6
860,6
869,6
871,6
873,6
883,6
893,6
900,6
907,6
910,6
914,6
923,6
936,6
939,6
947,6
954,6
956,6
959,6
965,6
971,6
975,6
977,6
982,6
993,6
100,5
111,5
118,5
124,5
127,5
138,5
146,5
147,5
157,5
162,5
170,5
174,5
182,5
183,5
190,5
194,5
200,5
210,5
211,5
225,5
230,5
235,5
239,5
243,5
247,5
255,5
261,5
267,5
294,5
296,5
310,5
314,5
318,5
324,5
328,5
336,5
338,5
339,5
344,5
345,5
356,5
367,5
368,5
369,5
378,5
384,5
386,5
391,5
396,5
402,5
415,5
420,5
