word,count
синтаксис_версия,2971
диск_документ,9287
кодировка_разработка,4256
решение_пользователь,9477
версия_анализ,6054
система_база,1117
разработка_база,4154
информация_база,2766
байт,1348
бит_папка,6137
компьютер_программирование,2470
программа_кодировка,1108
документ_стандарт,8857
система,6669
разработка_язык,2145
память_диск,4150
программирование_переменная,7839
байт_диск,6924
библиотека,1945
мир,7533
список,7185
документ,4038
файл_информация,3511
база,3011
библиотека,6289
сеть_байт,4609
задача_интерфейс,2202
анализ_сервер,7100
память_процессор,6217
бит_процессор,5491
документ_формат,9067
безопасность_бит,1554
библиотека_отладка,5779
программирование_код,8543
память_документ,1316
привет_файл,4671
проект_структура,1573
процессор_папка,5647
программа_текст,4842
решение_структура,8909
задача_анализ,4259
пароль_бит,6173
проект_задача,2323
структура,4749
мир_программа,9911
файл_кодировка,2412
ошибка_отладка,3380
шифрование_память,5357
язык_переменная,2987
кодировка_информация,7205
программирование_код,4037
сервер_клиент,2519
решение_пользователь,2659
функция_список,6930
разработка_язык,3054
проект_анализ,4011
язык_программирование,9561
привет_мир,2079
решение_анализ,7101
пароль_шифрование,5890
язык_код,1351
клиент_сеть,1615
пользователь_сервер,8197
пользователь_клиент,7867
память_процессор,9761
библиотека_тестирование,2410
программирование_функция,5934
память_папка,3280
тестирование,9161
функция,5682
модуль_ошибка,6042
безопасность_пароль,1825
язык_функция,6053
модуль,8249
сервер_пароль,5057
переменная_словарь,7955
сеть_байт,7585
ошибка_тестирование,4496
файл_информация,7081
текст_кодировка,8237
привет_программа,8608
ошибка_проект,8840
компьютер_функция,6098
алгоритм_язык,6028
язык,6290
решение_интерфейс,2205
тестирование_проект,1751
диск_папка,7103
система_информация,8363
процессор_папка,8888
код,1544
база_компьютер,5999
папка_документ,3215
пароль,9592
структура_пользователь,5395
ошибка_версия,9466
данные_система,4573
алгоритм_база,1591
память_документ,3814
компьютер_функция,8000
задача_анализ,7023
формат_стандарт,5006
анализ,2788
информация_компьютер,1170
ошибка_отладка,6177
база_программирование,1879
информация_алгоритм,4931
проект_анализ,6475
функция_модуль,3213
решение_анализ,6777
решение_анализ,8079
код_список,3823
язык_функция,4612
анализ,6074
текст_кодировка,8911
файл_кодировка,2834
решение_интерфейс,7855
тестирование_задача,1409
интерфейс_пользователь,3307
сеть,6526
текст_информация,5984
сервер,2649
байт_диск,5893
данные_кодировка,8459
синтаксис_ошибка,6408
решение_анализ,2295
переменная_модуль,5236
база_компьютер,1531
документ_формат,7129
алгоритм_программирование,6358
переменная_словарь,2010
отладка_версия,5376
сеть,8827
решение,5335
сервер_сеть,7106
данные_система,2728
словарь_синтаксис,2863
пароль_байт,8314
решение_анализ,2398
проект,4839
данные_текст,2982
пользователь_безопасность,6784
сеть_пароль,2058
алгоритм_база,9686
программирование_переменная,7799
проект_задача,8966
язык_переменная,1823
пользователь,8712
структура_клиент,6827
пароль_память,4805
решение_интерфейс,8544
сервер,1651
язык_переменная,2649
проект_анализ,2689
сеть_безопасность,2692
модуль_библиотека,7536
интерфейс_клиент,4714
шифрование_процессор,3675
мир_файл,5156
функция_модуль,1875
модуль_библиотека,7480
сеть_байт,9732
пароль_бит,7401
анализ_пользователь,1552
база,6661
ошибка_проект,4581
текст_кодировка,8798
решение_пользователь,6938
бит,6821
список_синтаксис,9169
словарь,7533
отладка,2051
структура_сервер,1166
байт_память,4875
проект_структура,7845
диск_стандарт,1329
сеть_безопасность,5720
память_диск,5796
разработка_язык,2427
компьютер_код,1798
библиотека_тестирование,5494
переменная_модуль,9452
модуль,9286
интерфейс_клиент,5658
база,7041
диск_стандарт,9968
процессор_документ,5776
шифрование,8389
документ,3608
диск,2393
язык_код,9079
библиотека,6748
информация_компьютер,9594
тестирование_проект,4136
система_разработка,8606
текст_разработка,9327
привет_программа,3769
версия_решение,2510
язык_код,2437
пользователь_сервер,5598
задача_интерфейс,7642
язык_переменная,1398
компьютер_код,2733
ошибка_отладка,9416
решение_интерфейс,9741
процессор_папка,5864
разработка_компьютер,2756
анализ_интерфейс,6297
шифрование_память,6693
документ_формат,2948
задача_структура,9754
файл_кодировка,4693
мир_программа,9075
данные_файл,3801
интерфейс_сервер,7774
память_папка,9634
текст_разработка,5730
привет_данные,9819
язык_программирование,8420
данные_система,9193
решение_структура,5886
структура_клиент,5798
функция_словарь,6070
привет_программа,3568
база_компьютер,7055
компьютер_программирование,8115
программирование_функция,1325
программирование_функция,3574
словарь_синтаксис,2614
папка,1625
программа_данные,8544
алгоритм_компьютер,8615
бит_память,4499
база,8680
версия_решение,6450
текст_система,1985
библиотека_синтаксис,2132
клиент_сеть,9287
безопасность_шифрование,7939
данные,8068
синтаксис_отладка,1499
список_синтаксис,6708
бит_память,6539
модуль_синтаксис,1147
текст_система,5782
данные_текст,2911
структура_клиент,1520
интерфейс,5566
база,5841
решение,5554
отладка,6240
процессор,1824
список_библиотека,8209
код_переменная,9978
пароль_бит,9937
стандарт,4582
процессор,2206
решение_интерфейс,7851
переменная_библиотека,6010
интерфейс_пользователь,4049
диск_документ,7645
клиент_пароль,4424
программирование_список,5854
